checking_account_Status,Duration(months),Credit_history,Purpose,Credit_Amount,credit_per_month,Savings_Account/bonds,Employment_since,Installment_rate(%),Personalstatus_Gender,Gender,debtors/Guarantors,Residence_since(yrs),Property,Age,Other_installment_plans,Housing,Bank_credits,Job,Dependents,Telephone,Foriegn_worker,Credit_Classification
0_to_200,10,cleared_pending_dues,new_car,7308,730.8,Below_100,unemployed,2,single,male,none,4,no_property,70,bank,for_free,1,selfemployed/Mgt,1,yes,yes,0
no_account,36,cleared_pending_dues,new_car,909,25.25,500_to_1000,more_than_7yrs,4,single,male,none,4,life_insurance,36,none,own,1,skilled_employee,1,none,yes,0
no_account,6,cleared_pending_dues,furniture,2978,496.333333333333,500_to_1000,1_to_4yr,1,single,male,none,2,car/other,32,none,own,1,skilled_employee,1,yes,yes,0
below_0,18,cleared_pending_dues,furniture,1131,62.8333333333333,Below_100,unemployed,4,divorced,female,none,2,car/other,33,none,own,1,skilled_employee,1,none,yes,1
0_to_200,11,cleared_pending_dues,furniture,1577,143.363636363636,Above_1000,lessthan_year,4,divorced,female,none,1,real_estate,20,none,own,1,skilled_employee,1,none,yes,0
no_account,24,cleared_pending_dues,furniture,3972,165.5,Below_100,4_to_7yr,2,divorced,female,none,4,life_insurance,25,none,rent,1,skilled_employee,1,yes,yes,0
0_to_200,24,critical_acc,business,1935,80.625,Below_100,more_than_7yrs,4,divorced,male,none,4,real_estate,31,none,own,2,skilled_employee,1,yes,yes,1
below_0,15,no_credits_taken,new_car,950,63.3333333333333,Below_100,more_than_7yrs,4,single,male,none,3,car/other,33,none,rent,2,skilled_employee,2,none,yes,1
no_account,12,cleared_pending_dues,furniture,763,63.5833333333333,Below_100,1_to_4yr,4,divorced,female,none,1,real_estate,26,none,own,1,skilled_employee,1,yes,yes,0
0_to_200,24,delayed_payement,furniture,2064,86.0,Below_100,unemployed,3,divorced,female,none,2,life_insurance,34,none,own,1,selfemployed/Mgt,1,yes,yes,1
0_to_200,8,cleared_pending_dues,tv,1414,176.75,Below_100,1_to_4yr,4,single,male,guarantor,2,real_estate,33,none,own,1,skilled_employee,1,none,no,0
below_0,21,delayed_payement,education,3414,162.571428571429,Below_100,lessthan_year,2,single,male,none,1,life_insurance,26,none,own,2,skilled_employee,1,none,yes,1
no_account,30,duly_paid,used_car,7485,249.5,no_saving_acc,unemployed,4,divorced,female,none,1,real_estate,53,bank,own,1,selfemployed/Mgt,1,yes,yes,1
below_0,12,cleared_pending_dues,furniture,2577,214.75,Below_100,1_to_4yr,2,divorced,male,none,1,car/other,42,none,own,1,skilled_employee,1,none,yes,0
below_0,6,critical_acc,tv,338,56.3333333333333,500_to_1000,more_than_7yrs,4,single,male,none,4,car/other,52,none,own,2,skilled_employee,1,none,yes,0
no_account,12,cleared_pending_dues,tv,1963,163.583333333333,Below_100,4_to_7yr,4,single,male,none,2,car/other,31,none,rent,2,selfemployed/Mgt,2,yes,yes,0
below_0,21,critical_acc,new_car,571,27.190476190476197,Below_100,more_than_7yrs,4,single,male,none,4,real_estate,65,none,own,2,skilled_employee,1,none,yes,0
no_account,36,delayed_payement,business,9572,265.888888888889,Below_100,lessthan_year,1,divorced,male,none,1,car/other,28,none,own,2,skilled_employee,1,none,yes,1
0_to_200,36,delayed_payement,business,4455,123.75,Below_100,1_to_4yr,2,divorced,male,none,2,real_estate,30,stores,own,2,selfemployed/Mgt,1,yes,yes,1
below_0,21,duly_paid,new_car,1647,78.4285714285714,no_saving_acc,1_to_4yr,4,single,male,none,2,life_insurance,40,none,own,2,Unskilled-Resident,2,none,yes,1
no_account,24,critical_acc,furniture,3777,157.375,Above_1000,1_to_4yr,4,single,male,none,4,real_estate,50,none,own,1,skilled_employee,1,yes,yes,0
0_to_200,18,critical_acc,new_car,884,49.1111111111111,Below_100,more_than_7yrs,4,single,male,none,4,car/other,36,bank,own,1,skilled_employee,2,yes,yes,1
no_account,15,critical_acc,tv,1360,90.6666666666667,Below_100,1_to_4yr,4,single,male,none,2,life_insurance,31,none,own,2,skilled_employee,1,none,yes,0
0_to_200,9,duly_paid,used_car,5129,569.888888888889,Below_100,more_than_7yrs,2,divorced,female,none,4,no_property,74,bank,for_free,1,selfemployed/Mgt,2,yes,yes,1
0_to_200,16,critical_acc,new_car,1175,73.4375,Below_100,unemployed,2,single,male,none,3,car/other,68,none,for_free,3,unemployed/non-resident,1,yes,yes,0
below_0,12,cleared_pending_dues,tv,674,56.1666666666667,100_to_500,4_to_7yr,4,married,male,none,1,life_insurance,20,none,own,1,skilled_employee,1,none,yes,1
0_to_200,18,no_credits_taken,furniture,3244,180.22222222222197,Below_100,1_to_4yr,1,divorced,female,none,4,car/other,33,bank,own,2,skilled_employee,1,yes,yes,0
no_account,24,cleared_pending_dues,business,4591,191.291666666667,Above_1000,1_to_4yr,2,single,male,none,3,life_insurance,54,none,own,3,selfemployed/Mgt,1,yes,yes,1
0_to_200,48,no_credits_taken,business,3844,80.0833333333333,100_to_500,4_to_7yr,4,single,male,none,4,no_property,34,none,for_free,1,Unskilled-Resident,2,none,yes,1
0_to_200,27,cleared_pending_dues,business,3915,145.0,Below_100,1_to_4yr,4,single,male,none,2,car/other,36,none,own,1,skilled_employee,2,yes,yes,1
no_account,6,cleared_pending_dues,tv,2108,351.333333333333,Below_100,4_to_7yr,2,married,male,none,2,real_estate,29,none,rent,1,skilled_employee,1,none,yes,0
0_to_200,45,cleared_pending_dues,tv,3031,67.3555555555556,100_to_500,1_to_4yr,4,single,male,guarantor,4,life_insurance,21,none,rent,1,skilled_employee,1,none,yes,1
0_to_200,9,critical_acc,education,1501,166.777777777778,Below_100,more_than_7yrs,2,divorced,female,none,3,car/other,34,none,own,2,selfemployed/Mgt,1,yes,yes,1
no_account,6,critical_acc,tv,1382,230.333333333333,Below_100,1_to_4yr,1,divorced,female,none,1,car/other,28,none,own,2,skilled_employee,1,yes,yes,0
0_to_200,12,cleared_pending_dues,furniture,951,79.25,100_to_500,lessthan_year,4,divorced,female,none,4,car/other,27,bank,rent,4,skilled_employee,1,none,yes,1
0_to_200,24,cleared_pending_dues,used_car,2760,115.0,no_saving_acc,more_than_7yrs,4,single,male,none,4,no_property,36,bank,for_free,1,skilled_employee,1,yes,yes,0
0_to_200,18,delayed_payement,furniture,4297,238.72222222222197,Below_100,more_than_7yrs,4,divorced,male,none,3,no_property,40,none,own,1,selfemployed/Mgt,1,yes,yes,1
no_account,9,critical_acc,education,936,104.0,500_to_1000,more_than_7yrs,4,single,male,none,2,car/other,52,none,own,2,skilled_employee,1,yes,yes,0
below_0,12,cleared_pending_dues,new_car,1168,97.3333333333333,Below_100,1_to_4yr,4,married,male,none,3,real_estate,27,none,own,1,Unskilled-Resident,1,none,yes,0
no_account,27,delayed_payement,business,5117,189.518518518519,Below_100,4_to_7yr,3,single,male,none,4,car/other,26,none,own,2,skilled_employee,1,none,yes,0
below_0,12,cleared_pending_dues,retraining,902,75.1666666666667,Below_100,4_to_7yr,4,married,male,none,4,life_insurance,21,none,rent,1,skilled_employee,1,none,yes,1
no_account,12,critical_acc,new_car,1495,124.583333333333,Below_100,more_than_7yrs,4,single,male,none,1,real_estate,38,none,own,2,Unskilled-Resident,2,none,yes,0
below_0,30,critical_acc,used_car,10623,354.1,Below_100,more_than_7yrs,3,single,male,none,4,no_property,38,none,for_free,3,selfemployed/Mgt,2,yes,yes,0
no_account,12,critical_acc,furniture,1935,161.25,Below_100,more_than_7yrs,4,single,male,none,4,real_estate,43,none,own,3,skilled_employee,1,yes,yes,0
0_to_200,12,critical_acc,domestic_appliances,1424,118.666666666667,Below_100,4_to_7yr,4,single,male,none,3,life_insurance,26,none,own,1,skilled_employee,1,none,yes,0
below_0,24,cleared_pending_dues,business,6568,273.66666666666697,Below_100,1_to_4yr,2,married,male,none,2,car/other,21,stores,own,1,Unskilled-Resident,1,none,yes,0
no_account,12,cleared_pending_dues,used_car,1413,117.75,Above_1000,4_to_7yr,3,single,male,none,2,life_insurance,55,none,own,1,skilled_employee,1,none,no,0
no_account,9,critical_acc,tv,3074,341.555555555556,no_saving_acc,1_to_4yr,1,single,male,none,2,real_estate,33,none,own,2,skilled_employee,2,none,yes,0
no_account,36,cleared_pending_dues,tv,3835,106.527777777778,no_saving_acc,more_than_7yrs,2,divorced,female,none,4,real_estate,45,none,own,1,Unskilled-Resident,1,yes,yes,0
below_0,27,no_credits_taken,business,5293,196.037037037037,Below_100,unemployed,2,single,male,none,4,life_insurance,50,stores,own,2,skilled_employee,1,yes,yes,1
above_200,30,delayed_payement,business,1908,63.6,Below_100,more_than_7yrs,4,single,male,none,4,real_estate,66,none,own,1,selfemployed/Mgt,1,yes,yes,1
no_account,36,critical_acc,tv,3342,92.8333333333333,no_saving_acc,more_than_7yrs,4,single,male,none,2,car/other,51,none,own,1,skilled_employee,1,yes,yes,0
0_to_200,6,critical_acc,retraining,932,155.333333333333,no_saving_acc,4_to_7yr,1,divorced,female,none,3,life_insurance,39,none,own,2,Unskilled-Resident,1,none,yes,0
below_0,18,no_credits_taken,business,3104,172.444444444444,Below_100,4_to_7yr,3,single,male,none,1,life_insurance,31,bank,own,1,skilled_employee,1,yes,yes,0
above_200,36,cleared_pending_dues,tv,3913,108.694444444444,Below_100,1_to_4yr,2,single,male,none,2,real_estate,23,none,own,1,skilled_employee,1,yes,yes,0
below_0,24,cleared_pending_dues,furniture,3021,125.875,Below_100,1_to_4yr,2,divorced,male,none,2,real_estate,24,none,rent,1,Unskilled-Resident,1,none,yes,0
no_account,10,cleared_pending_dues,new_car,1364,136.4,Below_100,1_to_4yr,2,divorced,female,none,4,car/other,64,none,own,1,skilled_employee,1,yes,yes,0
0_to_200,12,cleared_pending_dues,tv,625,52.0833333333333,Below_100,lessthan_year,4,married,male,guarantor,1,real_estate,26,bank,own,1,Unskilled-Resident,1,none,yes,0
below_0,12,cleared_pending_dues,education,1200,100.0,no_saving_acc,1_to_4yr,4,divorced,female,none,4,life_insurance,23,bank,rent,1,skilled_employee,1,yes,yes,0
no_account,12,cleared_pending_dues,tv,707,58.9166666666667,Below_100,1_to_4yr,4,single,male,none,2,real_estate,30,bank,own,2,skilled_employee,1,none,yes,0
no_account,24,delayed_payement,business,2978,124.083333333333,no_saving_acc,1_to_4yr,4,single,male,none,4,real_estate,32,none,own,2,skilled_employee,2,yes,yes,0
no_account,15,cleared_pending_dues,used_car,4657,310.466666666667,Below_100,1_to_4yr,3,single,male,none,2,car/other,30,none,own,1,skilled_employee,1,yes,yes,0
no_account,36,no_credits_taken,repairs,2613,72.5833333333333,Below_100,1_to_4yr,4,single,male,none,2,car/other,27,none,own,2,skilled_employee,1,none,yes,0
0_to_200,48,cleared_pending_dues,tv,10961,228.354166666667,Above_1000,4_to_7yr,1,single,male,Co-applicant,2,no_property,27,bank,own,2,skilled_employee,1,yes,yes,1
below_0,12,cleared_pending_dues,furniture,7865,655.416666666667,Below_100,more_than_7yrs,4,single,male,none,4,no_property,53,none,for_free,1,selfemployed/Mgt,1,yes,yes,1
no_account,9,cleared_pending_dues,tv,1478,164.222222222222,Below_100,4_to_7yr,4,single,male,none,2,car/other,22,none,own,1,skilled_employee,1,none,yes,1
below_0,24,cleared_pending_dues,furniture,3149,131.208333333333,Below_100,lessthan_year,4,single,male,none,1,no_property,22,bank,for_free,1,skilled_employee,1,none,yes,0
above_200,36,cleared_pending_dues,tv,4210,116.944444444444,Below_100,1_to_4yr,4,single,male,none,2,car/other,26,none,own,1,skilled_employee,1,none,yes,1
no_account,9,cleared_pending_dues,new_car,2507,278.555555555556,500_to_1000,more_than_7yrs,2,single,male,none,4,no_property,51,none,for_free,1,Unskilled-Resident,1,none,yes,0
no_account,12,cleared_pending_dues,tv,2141,178.416666666667,100_to_500,4_to_7yr,3,single,male,none,1,no_property,35,none,own,1,skilled_employee,1,none,yes,0
0_to_200,18,cleared_pending_dues,tv,866,48.1111111111111,Below_100,1_to_4yr,4,married,male,guarantor,2,real_estate,25,none,own,1,Unskilled-Resident,1,none,yes,0
no_account,4,critical_acc,tv,1544,386.0,Below_100,4_to_7yr,2,single,male,none,1,real_estate,42,none,own,3,Unskilled-Resident,2,none,yes,0
below_0,24,cleared_pending_dues,tv,1823,75.9583333333333,Below_100,unemployed,4,single,male,none,2,car/other,30,stores,own,1,selfemployed/Mgt,2,none,yes,1
0_to_200,6,cleared_pending_dues,new_car,14555,2425.8333333333303,no_saving_acc,unemployed,1,single,male,none,2,life_insurance,23,none,own,1,unemployed/non-resident,1,yes,yes,1
0_to_200,21,cleared_pending_dues,business,2767,131.76190476190501,100_to_500,more_than_7yrs,4,divorced,male,none,2,car/other,61,bank,rent,2,Unskilled-Resident,1,none,yes,1
no_account,12,critical_acc,tv,1291,107.583333333333,Below_100,1_to_4yr,4,divorced,female,none,2,life_insurance,35,none,own,2,skilled_employee,1,none,yes,0
below_0,30,cleared_pending_dues,tv,2522,84.0666666666667,Below_100,more_than_7yrs,1,single,male,guarantor,3,life_insurance,39,none,own,1,skilled_employee,2,none,yes,0
below_0,24,cleared_pending_dues,new_car,915,38.125,no_saving_acc,more_than_7yrs,4,divorced,female,none,2,car/other,29,bank,own,1,skilled_employee,1,none,yes,1
no_account,6,cleared_pending_dues,tv,1595,265.83333333333303,Below_100,4_to_7yr,3,single,male,none,2,life_insurance,51,none,own,1,skilled_employee,2,none,yes,0
below_0,48,no_credits_taken,used_car,4605,95.9375,Below_100,more_than_7yrs,3,single,male,none,4,no_property,24,none,for_free,2,skilled_employee,2,none,yes,1
no_account,12,critical_acc,business,1185,98.75,Below_100,1_to_4yr,3,divorced,female,none,2,real_estate,27,none,own,2,skilled_employee,1,none,yes,0
no_account,12,duly_paid,retraining,3447,287.25,500_to_1000,1_to_4yr,4,divorced,female,none,3,real_estate,35,none,own,1,Unskilled-Resident,2,none,yes,0
no_account,24,cleared_pending_dues,business,1258,52.4166666666667,Below_100,4_to_7yr,4,single,male,none,1,real_estate,25,none,own,1,skilled_employee,1,yes,yes,0
no_account,12,critical_acc,tv,717,59.75,Below_100,more_than_7yrs,4,single,male,none,4,real_estate,52,none,own,3,skilled_employee,1,none,yes,0
no_account,6,no_credits_taken,new_car,1204,200.666666666667,100_to_500,1_to_4yr,4,single,male,none,1,no_property,35,bank,rent,1,skilled_employee,1,none,no,0
above_200,24,cleared_pending_dues,furniture,1925,80.2083333333333,Below_100,1_to_4yr,2,single,male,none,2,real_estate,26,none,own,1,skilled_employee,1,none,yes,0
no_account,18,cleared_pending_dues,tv,433,24.0555555555556,Below_100,unemployed,3,divorced,female,Co-applicant,4,real_estate,22,none,rent,1,skilled_employee,1,none,yes,1
below_0,6,critical_acc,new_car,666,111.0,Above_1000,4_to_7yr,3,divorced,female,none,4,real_estate,39,none,own,2,Unskilled-Resident,1,yes,yes,0
above_200,12,cleared_pending_dues,furniture,2251,187.583333333333,Below_100,1_to_4yr,1,divorced,female,none,2,car/other,46,none,own,1,Unskilled-Resident,1,none,yes,0
0_to_200,30,cleared_pending_dues,new_car,2150,71.6666666666667,Below_100,1_to_4yr,4,divorced,female,guarantor,2,no_property,24,bank,own,1,skilled_employee,1,none,yes,1
no_account,24,delayed_payement,furniture,4151,172.958333333333,100_to_500,1_to_4yr,2,single,male,none,3,life_insurance,35,none,own,2,skilled_employee,1,none,yes,0
0_to_200,9,cleared_pending_dues,furniture,2030,225.555555555556,no_saving_acc,4_to_7yr,2,single,male,none,1,car/other,24,none,own,1,skilled_employee,1,yes,yes,0
0_to_200,60,delayed_payement,tv,7418,123.633333333333,no_saving_acc,1_to_4yr,1,single,male,none,1,real_estate,27,none,own,1,Unskilled-Resident,1,none,yes,0
no_account,24,critical_acc,tv,2684,111.833333333333,Below_100,1_to_4yr,4,single,male,none,2,real_estate,35,none,own,2,Unskilled-Resident,1,none,yes,0
below_0,12,duly_paid,tv,2149,179.083333333333,Below_100,1_to_4yr,4,divorced,male,none,1,no_property,29,none,for_free,1,skilled_employee,1,none,yes,1
no_account,15,cleared_pending_dues,used_car,3812,254.133333333333,100_to_500,lessthan_year,1,divorced,female,none,4,car/other,23,none,own,1,skilled_employee,1,yes,yes,0
no_account,11,critical_acc,tv,1154,104.90909090909099,100_to_500,unemployed,4,divorced,female,none,4,real_estate,57,none,own,3,Unskilled-Resident,1,none,yes,0
below_0,12,cleared_pending_dues,furniture,1657,138.083333333333,Below_100,1_to_4yr,2,single,male,none,2,real_estate,27,none,own,1,skilled_employee,1,none,yes,0
below_0,24,cleared_pending_dues,tv,1603,66.7916666666667,Below_100,more_than_7yrs,4,divorced,female,none,4,car/other,55,none,own,1,skilled_employee,1,none,yes,0
below_0,18,critical_acc,new_car,5302,294.555555555556,Below_100,more_than_7yrs,2,single,male,none,4,no_property,36,none,for_free,3,selfemployed/Mgt,1,yes,yes,0
no_account,12,critical_acc,education,2748,229.0,Below_100,more_than_7yrs,2,divorced,female,none,4,no_property,57,bank,for_free,3,Unskilled-Resident,1,none,yes,0
no_account,10,critical_acc,new_car,1231,123.1,Below_100,more_than_7yrs,3,single,male,none,4,real_estate,32,none,own,2,Unskilled-Resident,2,none,no,0
0_to_200,15,cleared_pending_dues,tv,802,53.4666666666667,Below_100,more_than_7yrs,4,single,male,none,3,car/other,37,none,own,1,skilled_employee,2,none,yes,1
no_account,36,critical_acc,business,6304,175.111111111111,no_saving_acc,more_than_7yrs,4,single,male,none,4,real_estate,36,none,own,2,skilled_employee,1,none,yes,0
no_account,24,cleared_pending_dues,tv,1533,63.875,Below_100,lessthan_year,4,divorced,female,none,3,car/other,38,stores,own,1,skilled_employee,1,yes,yes,0
below_0,14,cleared_pending_dues,new_car,8978,641.285714285714,Below_100,more_than_7yrs,1,divorced,male,none,4,life_insurance,45,none,own,1,selfemployed/Mgt,1,yes,no,1
no_account,24,cleared_pending_dues,tv,999,41.625,no_saving_acc,more_than_7yrs,4,single,male,none,2,car/other,25,none,own,2,skilled_employee,1,none,yes,0
no_account,18,cleared_pending_dues,new_car,2662,147.888888888889,no_saving_acc,4_to_7yr,4,single,male,none,3,life_insurance,32,none,own,1,skilled_employee,1,none,no,0
no_account,12,critical_acc,furniture,1402,116.833333333333,500_to_1000,4_to_7yr,3,divorced,female,none,4,car/other,37,none,rent,1,skilled_employee,1,yes,yes,0
0_to_200,48,duly_paid,new_car,12169,253.520833333333,no_saving_acc,unemployed,4,single,male,Co-applicant,4,no_property,36,none,for_free,1,selfemployed/Mgt,1,yes,yes,0
0_to_200,48,cleared_pending_dues,tv,3060,63.75,Below_100,4_to_7yr,4,single,male,none,4,real_estate,28,none,own,2,skilled_employee,1,none,yes,1
below_0,30,cleared_pending_dues,repairs,11998,399.933333333333,Below_100,lessthan_year,1,divorced,male,none,1,no_property,34,none,own,1,Unskilled-Resident,1,yes,yes,1
no_account,9,cleared_pending_dues,tv,2697,299.66666666666697,Below_100,1_to_4yr,1,single,male,none,2,real_estate,32,none,own,1,skilled_employee,2,none,yes,0
no_account,18,critical_acc,tv,2404,133.555555555556,Below_100,1_to_4yr,2,divorced,female,none,2,car/other,26,none,own,2,skilled_employee,1,none,yes,0
below_0,12,cleared_pending_dues,furniture,1262,105.166666666667,no_saving_acc,more_than_7yrs,2,divorced,male,none,4,life_insurance,49,none,own,1,Unskilled-Resident,1,yes,yes,0
no_account,6,cleared_pending_dues,furniture,4611,768.5,Below_100,lessthan_year,1,divorced,female,none,4,life_insurance,32,none,own,1,skilled_employee,1,none,yes,1
no_account,24,cleared_pending_dues,tv,1901,79.2083333333333,100_to_500,1_to_4yr,4,single,male,none,4,car/other,29,none,rent,1,selfemployed/Mgt,1,yes,yes,0
no_account,15,critical_acc,used_car,3368,224.53333333333302,Above_1000,more_than_7yrs,3,single,male,none,4,no_property,23,none,rent,2,skilled_employee,1,yes,yes,0
no_account,12,cleared_pending_dues,furniture,1574,131.166666666667,Below_100,1_to_4yr,4,single,male,none,2,real_estate,50,none,own,1,skilled_employee,1,none,yes,0
above_200,18,duly_paid,tv,1445,80.2777777777778,no_saving_acc,4_to_7yr,4,single,male,none,4,car/other,49,bank,own,1,Unskilled-Resident,1,none,yes,0
no_account,15,critical_acc,furniture,1520,101.333333333333,no_saving_acc,more_than_7yrs,4,single,male,none,4,life_insurance,63,none,own,1,skilled_employee,1,none,yes,0
0_to_200,24,critical_acc,new_car,3878,161.583333333333,100_to_500,lessthan_year,4,divorced,male,none,2,car/other,37,none,own,1,skilled_employee,1,yes,yes,0
below_0,47,cleared_pending_dues,new_car,10722,228.127659574468,Below_100,lessthan_year,1,divorced,female,none,1,real_estate,35,none,own,1,Unskilled-Resident,1,yes,yes,0
below_0,48,cleared_pending_dues,used_car,4788,99.75,Below_100,4_to_7yr,4,single,male,none,3,life_insurance,26,none,own,1,skilled_employee,2,none,yes,0
0_to_200,48,delayed_payement,others,7582,157.958333333333,100_to_500,unemployed,2,single,male,none,4,no_property,31,none,for_free,1,selfemployed/Mgt,1,yes,yes,0
0_to_200,12,cleared_pending_dues,tv,1092,91.0,Below_100,1_to_4yr,4,divorced,female,guarantor,4,real_estate,49,none,own,2,skilled_employee,1,yes,yes,0
below_0,24,delayed_payement,tv,1024,42.6666666666667,Below_100,lessthan_year,4,married,male,none,4,real_estate,48,stores,own,1,skilled_employee,1,none,yes,1
no_account,12,cleared_pending_dues,business,1076,89.6666666666667,Below_100,1_to_4yr,2,married,male,none,2,real_estate,26,none,own,1,skilled_employee,1,yes,no,0
0_to_200,36,cleared_pending_dues,used_car,9398,261.055555555556,Below_100,lessthan_year,1,married,male,none,4,car/other,28,none,rent,1,selfemployed/Mgt,1,yes,yes,1
below_0,24,critical_acc,used_car,6419,267.45833333333303,Below_100,more_than_7yrs,2,divorced,female,none,4,no_property,44,none,for_free,2,selfemployed/Mgt,2,yes,yes,0
above_200,42,critical_acc,used_car,4796,114.19047619047599,Below_100,more_than_7yrs,4,single,male,none,4,no_property,56,none,for_free,1,skilled_employee,1,none,yes,0
no_account,48,critical_acc,business,7629,158.9375,no_saving_acc,more_than_7yrs,4,divorced,male,none,2,car/other,46,bank,own,2,selfemployed/Mgt,2,none,yes,0
0_to_200,48,cleared_pending_dues,furniture,9960,207.5,Below_100,lessthan_year,1,divorced,female,none,2,car/other,26,none,own,1,skilled_employee,1,yes,yes,1
no_account,12,cleared_pending_dues,used_car,4675,389.583333333333,no_saving_acc,lessthan_year,1,divorced,female,none,4,car/other,20,none,rent,1,skilled_employee,1,none,yes,0
no_account,10,cleared_pending_dues,new_car,1287,128.7,no_saving_acc,more_than_7yrs,4,single,male,Co-applicant,2,life_insurance,45,none,own,1,Unskilled-Resident,1,none,no,0
no_account,18,cleared_pending_dues,furniture,2515,139.722222222222,Below_100,1_to_4yr,3,single,male,none,4,real_estate,43,none,own,1,skilled_employee,1,yes,yes,0
0_to_200,21,critical_acc,furniture,2745,130.714285714286,Above_1000,4_to_7yr,3,single,male,none,2,car/other,32,none,own,2,skilled_employee,1,yes,yes,0
no_account,6,cleared_pending_dues,new_car,672,112.0,Below_100,unemployed,1,divorced,female,none,4,real_estate,54,none,own,1,unemployed/non-resident,1,yes,yes,0
0_to_200,36,no_credits_taken,tv,3804,105.666666666667,Below_100,1_to_4yr,4,divorced,female,none,1,car/other,42,none,own,1,skilled_employee,1,yes,yes,1
above_200,24,critical_acc,new_car,1344,56.0,no_saving_acc,4_to_7yr,4,single,male,none,2,real_estate,37,bank,own,2,Unskilled-Resident,2,none,yes,1
below_0,10,critical_acc,new_car,1038,103.8,Below_100,4_to_7yr,4,single,male,Co-applicant,3,life_insurance,49,none,own,2,skilled_employee,1,yes,yes,0
no_account,48,critical_acc,new_car,10127,210.979166666667,500_to_1000,1_to_4yr,2,single,male,none,2,no_property,44,bank,for_free,1,skilled_employee,1,none,yes,1
no_account,6,cleared_pending_dues,furniture,1543,257.16666666666697,Above_1000,1_to_4yr,4,divorced,male,none,2,real_estate,33,none,own,1,skilled_employee,1,none,yes,0
no_account,30,cleared_pending_dues,used_car,4811,160.36666666666702,no_saving_acc,4_to_7yr,2,divorced,female,none,4,life_insurance,24,stores,rent,1,Unskilled-Resident,1,none,yes,0
below_0,12,cleared_pending_dues,tv,727,60.5833333333333,100_to_500,lessthan_year,4,married,male,none,3,no_property,33,none,own,1,Unskilled-Resident,1,yes,yes,1
0_to_200,8,cleared_pending_dues,furniture,1237,154.625,Below_100,1_to_4yr,3,divorced,female,none,4,real_estate,24,none,own,1,skilled_employee,1,none,yes,1
0_to_200,9,cleared_pending_dues,new_car,276,30.6666666666667,Below_100,1_to_4yr,4,married,male,none,4,real_estate,22,none,rent,1,Unskilled-Resident,1,none,yes,0
0_to_200,48,cleared_pending_dues,others,5381,112.104166666667,no_saving_acc,unemployed,3,single,male,none,4,no_property,40,bank,for_free,1,unemployed/non-resident,1,yes,yes,0
no_account,24,cleared_pending_dues,furniture,5511,229.625,100_to_500,1_to_4yr,4,single,male,none,1,car/other,25,stores,own,1,skilled_employee,1,none,yes,0
above_200,24,cleared_pending_dues,furniture,3749,156.208333333333,Below_100,lessthan_year,2,divorced,female,none,4,car/other,26,none,own,1,skilled_employee,1,none,yes,0
0_to_200,12,cleared_pending_dues,new_car,685,57.0833333333333,Below_100,4_to_7yr,2,married,male,none,3,car/other,25,bank,own,1,Unskilled-Resident,1,none,yes,1
above_200,4,cleared_pending_dues,new_car,1494,373.5,no_saving_acc,lessthan_year,1,single,male,none,2,real_estate,29,none,own,1,Unskilled-Resident,2,none,no,0
below_0,36,duly_paid,furniture,2746,76.2777777777778,Below_100,more_than_7yrs,4,single,male,none,4,car/other,31,bank,own,1,skilled_employee,1,none,yes,1
below_0,12,cleared_pending_dues,furniture,708,59.0,Below_100,1_to_4yr,2,single,male,guarantor,3,life_insurance,38,none,own,1,Unskilled-Resident,2,none,yes,0
0_to_200,24,cleared_pending_dues,furniture,4351,181.291666666667,no_saving_acc,1_to_4yr,1,divorced,female,none,4,life_insurance,48,none,own,1,Unskilled-Resident,1,yes,yes,0
no_account,12,critical_acc,education,701,58.4166666666667,Below_100,1_to_4yr,4,single,male,none,2,car/other,32,none,own,2,skilled_employee,1,none,yes,0
below_0,15,delayed_payement,furniture,3643,242.866666666667,Below_100,more_than_7yrs,1,divorced,female,none,4,life_insurance,27,none,own,2,Unskilled-Resident,1,none,yes,0
0_to_200,30,critical_acc,new_car,4249,141.63333333333298,Below_100,unemployed,4,married,male,none,2,car/other,28,none,own,2,selfemployed/Mgt,1,none,yes,1
below_0,24,cleared_pending_dues,tv,1938,80.75,Below_100,lessthan_year,4,divorced,male,none,3,life_insurance,32,none,own,1,skilled_employee,1,none,yes,1
below_0,24,cleared_pending_dues,used_car,2910,121.25,Below_100,4_to_7yr,2,single,male,none,1,no_property,34,none,for_free,1,selfemployed/Mgt,1,yes,yes,0
below_0,18,cleared_pending_dues,furniture,2659,147.722222222222,Above_1000,1_to_4yr,4,single,male,none,2,car/other,28,none,own,1,skilled_employee,1,none,yes,0
no_account,18,critical_acc,new_car,1028,57.1111111111111,Below_100,1_to_4yr,4,divorced,female,none,3,real_estate,36,none,own,2,skilled_employee,1,none,yes,0
below_0,8,critical_acc,new_car,3398,424.75,Below_100,4_to_7yr,1,single,male,none,4,real_estate,39,none,own,2,Unskilled-Resident,1,none,no,0
no_account,12,critical_acc,furniture,5801,483.416666666667,no_saving_acc,more_than_7yrs,2,single,male,none,4,life_insurance,49,none,rent,1,skilled_employee,1,yes,yes,0
no_account,24,cleared_pending_dues,new_car,1525,63.5416666666667,Above_1000,4_to_7yr,4,divorced,female,none,3,car/other,34,none,own,1,skilled_employee,2,yes,yes,0
above_200,36,cleared_pending_dues,tv,4473,124.25,Below_100,more_than_7yrs,4,single,male,none,2,car/other,31,none,own,1,skilled_employee,1,none,yes,0
